Category,Question,Answer
Mobile internet,How to set up the Internet on your Mobile/Smartphone?,"Internet service is available by default to all Orange customers, and the service configuration is either pre-installed on your device, or the configuration messages will be automatically delivered to your device the first time you use it. Upon setting up your phone, the ""Pay as you consume"" is the default charging method to access the internet, unless you are on a voice plan that already includes Internet, or you subscribed to one of the internet packages. 
Data Troubleshoot for Android software link: https://www.orange.eg/en/about/Investors/Documents/android-os-orange.pdf
Data Troubleshoot for iOS software link: https://www.orange.eg/en/about/Investors/Documents/iPhone-orange.pdf"
Mobile internet,How to subscribe to Internet Packages?,"Through Orange website: Login to your account and press on the ""Subscribe"" button in the Internet section. You will receive a notification SMS to confirm your subscription to the package of your choice. 
Through ""My Orange"" Mobile Application. 
From your device through #222#. 
Through Orange Customer Care: 110 from any Orange number, 16110 from any landline. 
Visit any Orange Store."
Mobile internet,How to check your Internet Package Consumption?,"Through ""My Orange"" Mobile Application. 
From your device, dial #136#. 
Through Orange website: www.orange.eg/myinternet.
For Internet lines, you can receive a copy of your Internet line consumption notifications on another Orange number of your choice. To activate the feature: through your account on orange.eg, go to www.orange.eg/myinternet while you are connected to the internet from the internet line, or dial #100# from the internet line. You will be notified on the other number when reaching 80% & 100% of your Internet package volume."
Mobile internet,How to renew the Internet Package or add Internet extension package?,"Through Orange website www.orange.eg/myinternet
Through ""My Orange"" Mobile Application
From your device by dialing #222#"
Mobile internet,How to use Orange Wi-Fi service?,"At the hotspot location, open your device Wi-Fi settings and choose Orange Wi-Fi network
Open your browser
Sign up or login with your registered mobile number and password
On the registration page, you will be asked to enter your mobile number. You will receive a verificationcode on that number.
Enter the verification code on Orange Wi-Fi home page, and enjoy the Internet"
Mobile internet,How to pay for Orange Wi-Fi service?,"How to pay through Premium SMS (for Orange customers only): Login to Orange Wi-Fi home page, and then send an SMS from your mobile to 95444 for EGP 5. You will receive a confirmation SMS and the charges will be deducted from your credit balance or added to your monthly bill. 
Non-Orange customers can pay through: Scratch cards, Credit cards. For more info, please refer to the café staff. 
In case of technical issues, call 0233311844. 
This guide is designed to guarantee the quality of service through unified standards and facilitate all troubleshooting steps in the right sequence, in order to differentiate between the real network problem and any other problem that causes the same impact on the customers. 
Network troubleshooting steps link: https://www.orange.eg/en/about/Investors/Documents/egypt-cs-network-complaint-handling-guide-Orange.pdf"
Internet - At Home,What is Orange Home DSL?,Home DSL is a technology that uses a standard copper two-wire pair (or line) to transmit high speed (high frequency) Internet connectivity to areas that will support the service.
Internet - At Home,"What does an ""instant"" connection mean?","With Orange Home DSL, there is no dialing in, no waiting to get online, and no busy signals. The Internet is always ready for you in an instant.

​"
Internet - At Home,Does Home DSL require installing an additional phone line?,"No. Your Home DSL service will be installed on your existing phone line. Home DSL technology allows simultaneous voice or fax and Home DSL (data) transmission over the same telephone line, so you can talk on your phone and access the Internet at the same time."
Internet - At Home,What are the benefits of Orange Home DSL?,"Orange Home DSL delivers all the speed, convenience, and security you're looking for: Up to 50X faster than dial-up. Instant connections with no dialing in and no waiting. Freedom to be on the phone and online at the same time. Free 24/7 customer support. Free dynamic IP. Free self-installation kit. Free splitter and filters."
Internet - At Home,What new things can I do with Orange Home DSL that I couldn't do with dial-up?,"While some activities are possible with a dial-up connection (such as downloading music or software), because they take so long, people with dial-up access don't regularly do them. Home DSL Orange makes it much faster and easier to do all this: Download music or listen to streaming music online. Download or email digital photos. Watch high-quality video online. Download software quickly and keep programs updated automatically. Play online games more successfully. Share one connection on all your home PCs."
Internet - At Home,Will my current phone features work with Home DSL?,"Yes. Adding Home DSL to your phone line does not affect your other telephone services and features. Home DSL will not affect Caller ID, voice mail, call waiting, or other advanced calling features."
Internet - At Home,What affects my connection speed?,"When you connect to the Internet using a Home DSL modem, the speeds that you will experience will vary based on a variety of factors, including the following: Distance of your telephone line to your local phone central office. Condition of telephone wiring. Computer configuration. Network or Internet congestion. Server and router speeds of the websites you access."
Internet - At Home,Is Orange Home DSL available on my phone line?,Click the following link: http://www.linkdsl.com/LinkDSL_Code/Pages/Default.aspx to enter your phone number to check the availability of Orange Home DSL at your premises. This will determine if your address is in an area where Orange Home DSL is available or not.
Internet - At Home,"If one number doesn't qualify, will another number at the same location qualify for Home DSL?","Please check the availability using the link http://www.linkdsl.com/LinkDSL_Code/Pages/Default.aspx for any of your telephone numbers. It is sometimes possible that a customer location could have more than one telephone line, so one telephone line might qualify while another telephone line does not."
Internet - At Home,"My neighbor has Orange Home DSL, but I can't get it. Why?","Home DSL is a distance-sensitive technology that works solely over copper phone lines. Currently, Orange Home DSL is only available to customers residing up to 5 km from their Central Office. In addition, customers must be served over copper wires. Some wires may be capable of handling Home DSL and others may not, even in the same area. We're currently working to overcome the distance limitation so our Home DSL would be more widely available. So, while you may not qualify for the service today, it is possible that you could be able to receive it in the near future as the technology improves."
Internet - At Home,"I want to subscribe to Orange Home DSL, what should I do?","First, gather detailed information on the line owner that Home DSL will be installed on e.g. line owner's name, line owner's ID number. Go to the ​Subscription Methods page using this link http://www.linkdsl.com/ to see the different methods through which you can subscribe"
Internet - At Home,What documents do I need to sign when I subscribe to Orange Home DSL?,"o subscribe to Orange Home DSL, you need to fill in and sign Orange Home DSL contract (please read our Terms and Conditions) using this link  http://www.linkdsl.com/"
