Internet type,Internet Bundle Type,Internet Bundle,Price(EGP),To subscribe call,Inclusive Volume(MBS),Gift,Duration_days,Duration_hours,Internet Speed (MB)
Mobile internet,GO,GO 20,20.0,#222#,1000,30 Extra Minutes to Orange Numbers and if your FREEMAX bundle isn't active you'll get 750 MBS,28.0,672.0,
Mobile internet,GO,GO 32,32.0,#222#,1750,"30 Extra Minutes to Orange Numbers and if your FREEMAX bundle isn't active you'll get 1,400 MBS",28.0,672.0,
Mobile internet,GO,GO 50,50.0,#222#,3250,"30 Extra Minutes to Orange Numbers and if your FREEMAX bundle isn't active you'll get 2,500 MBS",28.0,672.0,
Mobile internet,GO,GO 80,80.0,#222#,5500,"30 Extra Minutes to Orange Numbers and if your FREEMAX bundle isn't active you'll get 4,250 MBS",28.0,672.0,
Mobile internet,GO,GO 105,105.0,#222#,7250,"30 Extra Minutes to Orange Numbers and if your FREEMAX bundle isn't active you'll get 6,000 MBS",28.0,672.0,
Mobile internet,GO,GO 155,155.0,#222#,11500,"30 Extra Minutes to Orange Numbers and if your FREEMAX bundle isn't active you'll get 10,000 MBS",28.0,672.0,
Mobile internet,GO,GO 260,260.0,#222#,20000,"30 Extra Minutes to Orange Numbers and if your FREEMAX bundle isn't active you'll get 18,000 MBS",28.0,672.0,
Mobile internet,GO,GO 390,390.0,#222#,31500,"30 Extra Minutes to Orange Numbers and if your FREEMAX bundle isn't active you'll get 29,000 MBS",28.0,672.0,
Mobile internet,GO,GO 520,520.0,#222#,49000,"30 Extra Minutes to Orange Numbers and if your FREEMAX bundle isn't active you'll get 45,000 MBS",28.0,672.0,
Mobile internet,GO By Hour Social & Maps,GO By Hour Social & Maps,2.0,#2276#,Unlimited,,0.0208,0.5,
Mobile internet,GO By Hour Social & Maps,GO By Hour Social & Maps,3.0,#2277#,Unlimited,,0.0417,1.0,
Mobile internet,GO By Hour Social & Maps,GO By Hour Social & Maps,4.5,#2278#,Unlimited,,0.0833,2.0,
Mobile internet,GO By Hour Video & Music,GO By Hour Video & Music,1.5,#2273#,Unlimited,,0.0208,0.5,
Mobile internet,GO By Hour Video & Music,GO By Hour Video & Music,2.5,#2274#,Unlimited,,0.0417,1.0,
Mobile internet,GO By Hour Video & Music,GO By Hour Video & Music,3.5,#2275#,Unlimited,,0.0833,2.0,
Mobile internet,GO By Hour All Apps,GO By Hour All Apps,3.0,#2270#,Unlimited,,0.0208,0.5,
Mobile internet,GO By Hour All Apps,GO By Hour All Apps,4.5,#2271#,Unlimited,,0.0417,1.0,
Mobile internet,GO By Hour All Apps,GO By Hour All Apps,6.0,#2272#,Unlimited,,0.0833,2.0,
Mobile internet,GO Video,GO Video Daily,2.5,#222*21#,200,,1.0,24.0,
Mobile internet,GO Video,GO Video Monthly,5.5,#222*23#,450,,28.0,672.0,
Mobile internet,GO Video,GO Video Max,45.0,#222*24#,4500,,28.0,672.0,
Mobile internet,GO Social,GO Social,1.25,#222*11#,100,,1.25,30.0,
Mobile internet,GO @Home,GO @Home,13.0,#222*41#,1000,,28.0,672.0,
Mobile internet,GO @Home,GO @Home Max,45.0,#222*42#,4500,,28.0,672.0,
Mobile internet,GO @Amazon,GO @Amazon Monthly,6.5,#222*63#,450,,28.0,672.0,
Mobile internet,GO @Amazon,GO @Amazon Plus,45.0,#222*64#,4500,,28.0,672.0,
Mobile internet,GO Play,GO Play Daily,1.25,#32#,100,,1.0,24.0,
Mobile internet,GO Play,GO Play Weekly,4.0,#32#,200 + (75 Weekend Only),,7.0,168.0,
Mobile internet,GO Play,GO Play Monthly,13.0,#32#,1000 + (300 Weekend Only),,28.0,672.0,
Mobile internet,GO TIKTOK,GO TIKTOK,6.5,#222*55#,450,,28.0,672.0,
Home Internet,Home DSL,Home DSL,260.0,,140000,,28.0,672.0,30.0
Home Internet,Home DSL,Home DSL,340.0,,200000,,28.0,672.0,30.0
Home Internet,Home DSL,Home DSL,410.0,,250000,,28.0,672.0,30.0
Home Internet,Home DSL,Home DSL,470.0,,300000,,28.0,672.0,30.0
Home Internet,Home DSL,Home DSL,730.0,,500000,,28.0,672.0,30.0
Home Internet,Home DSL,Home DSL,1090.0,,750000,,28.0,672.0,30.0
Home Internet,Home DSL,Home DSL,570.0,,250000,,28.0,672.0,70.0
Home Internet,Home DSL,Home DSL,1090.0,,600000,,28.0,672.0,70.0
Home Internet,Home DSL,Home DSL,1610.0,,1000000,,28.0,672.0,70.0
Home Internet,Home DSL,Home DSL,750.0,,300000,,28.0,672.0,100.0
Home Internet,Home DSL,Home DSL,930.0,,400000,,28.0,672.0,100.0
Home Internet,Home DSL,Home DSL,1280.0,,600000,,28.0,672.0,100.0
Home Internet,Home DSL,Home DSL,1810.0,,1000000,,28.0,672.0,200.0
Home Internet,Home Wireless,Home Wireless,250.0,,40000,,28.0,672.0,
Home Internet,Home Wireless,Home Wireless,325.0,,70000,,28.0,672.0,
Home Internet,Home Wireless,Home Wireless,450.0,,140000,,28.0,672.0,
Home Internet,Home Wireless,Home Wireless,700.0,,240000,,28.0,672.0,
Home Internet,Home Wireless,Home Wireless,1000.0,,350000,,28.0,672.0,
Home Internet,Home Wireless,Home Wireless,1100.0,,400000,,28.0,672.0,
Home Internet,Home Wireless,Home Wireless,4000.0,,1000000,,28.0,672.0,
